create_date,forecast_date,data_source_marker,network_id,master_network_id,timeslot,impression_type,forecast_impressions
2018-02-28,2018-01-01,R,33,,1,H,378227
2018-02-28,2018-01-01,R,33,,2,H,377058
2018-02-28,2018-01-01,R,33,,3,H,368019
2018-02-28,2018-01-01,R,33,,4,H,348327
2018-02-28,2018-01-01,R,33,,5,H,336000
2018-02-28,2018-01-01,R,33,,6,H,329407
2018-02-28,2018-01-01,R,33,,7,H,314815
2018-02-28,2018-01-01,R,33,,8,H,297914
2018-02-28,2018-01-01,R,33,,9,H,279710
2018-02-28,2018-01-01,R,33,,10,H,261622
2018-02-28,2018-01-01,R,33,,11,H,235808
2018-02-28,2018-01-01,R,33,,12,H,222483
2018-02-28,2018-01-01,R,33,,13,H,212649
2018-02-28,2018-01-01,R,33,,14,H,185572
2018-02-28,2018-01-01,R,33,,15,H,177114
2018-02-28,2018-01-01,R,33,,16,H,149269
2018-02-28,2018-01-01,R,33,,17,H,143242
2018-02-28,2018-01-01,R,33,,18,H,133578
2018-02-28,2018-01-01,R,33,,19,H,124622
2018-02-28,2018-01-01,R,33,,20,H,113909
2018-02-28,2018-01-01,R,33,,21,H,105602
2018-02-28,2018-01-01,R,33,,22,H,97233
2018-02-28,2018-01-01,R,33,,23,H,104089
2018-02-28,2018-01-01,R,33,,24,H,105953
2018-02-28,2018-01-01,R,33,,25,H,93002
2018-02-28,2018-01-01,R,33,,26,H,113687
2018-02-28,2018-01-01,R,33,,27,H,112043
2018-02-28,2018-01-01,R,33,,28,H,117043
2018-02-28,2018-01-01,R,33,,29,H,131966
2018-02-28,2018-01-01,R,33,,30,H,122390
2018-02-28,2018-01-01,R,33,,31,H,148532
2018-02-28,2018-01-01,R,33,,32,H,144302
2018-02-28,2018-01-01,R,33,,33,H,164262
2018-02-28,2018-01-01,R,33,,34,H,165890
2018-02-28,2018-01-01,R,33,,35,H,183380
2018-02-28,2018-01-01,R,33,,36,H,188939
2018-02-28,2018-01-01,R,33,,37,H,185308
2018-02-28,2018-01-01,R,33,,38,H,201078
2018-02-28,2018-01-01,R,33,,39,H,208818
2018-02-28,2018-01-01,R,33,,40,H,210091
2018-02-28,2018-01-01,R,33,,41,H,218051
2018-02-28,2018-01-01,R,33,,42,H,229387
2018-02-28,2018-01-01,R,33,,43,H,230512
2018-02-28,2018-01-01,R,33,,44,H,233027
2018-02-28,2018-01-01,R,33,,45,H,239273
2018-02-28,2018-01-01,R,33,,46,H,241981
2018-02-28,2018-01-01,R,33,,47,H,234034
2018-02-28,2018-01-01,R,33,,48,H,231132
2018-02-28,2018-01-01,R,33,,49,H,231804
2018-02-28,2018-01-01,R,33,,50,H,232784
2018-02-28,2018-01-01,R,33,,51,H,236610
2018-02-28,2018-01-01,R,33,,52,H,235226
2018-02-28,2018-01-01,R,33,,53,H,238703
2018-02-28,2018-01-01,R,33,,54,H,242460
2018-02-28,2018-01-01,R,33,,55,H,257875
2018-02-28,2018-01-01,R,33,,56,H,255072
2018-02-28,2018-01-01,R,33,,57,H,269134
2018-02-28,2018-01-01,R,33,,58,H,283048
2018-02-28,2018-01-01,R,33,,59,H,291587
2018-02-28,2018-01-01,R,33,,60,H,306838
2018-02-28,2018-01-01,R,33,,61,H,311808
2018-02-28,2018-01-01,R,33,,62,H,314818
2018-02-28,2018-01-01,R,33,,63,H,319405
2018-02-28,2018-01-01,R,33,,64,H,304570
2018-02-28,2018-01-01,R,33,,65,H,304663
2018-02-28,2018-01-01,R,33,,66,H,289048
2018-02-28,2018-01-01,R,33,,67,H,286703
2018-02-28,2018-01-01,R,33,,68,H,259561
2018-02-28,2018-01-01,R,33,,69,H,244086
